UserName,Review Text,Rating
Mila Daihatsu Murah,"TOLONG KEMBALIKAN AKUN SAYA.. Akun ig sya tiba"" di tutup oleh pihak ig nya, TIDAK BISA LOGIN, sya tidak membuat kesalahan, padahal sya sudah lama pakai aplikasi ini, dan ketika sya akan buat akun yg baru juga sma sekali tidak bisa? Aplikasi nya tidak bisa membantu sma sekali.. SANGAT SANGAT SANGAT SANGAT KECEWA KECEWA KECEWA.....",1
Yepri Merbin,"ini Instagram kenapa ya???? setiap buat sorotan baru plus sama sampul nya, loading nya lama bangett itu knapa yaa!?? tolong pihak Instagram benerin bug nya saya sedikit kesal dan itu terus berulang-ulang kali padahal jaringan/data saya itu bagus engga ngelag tapi knp loading nya lama, TOLONG PIHAK INSTAGRAM SEGERA BETULIN BUG NYA!!!!!!!!",1
Zahiya Wardatunnisa,"salah satu aplikasi media sosial favorit aku ni🤩, buat keseluruhan aplikasinya sudah baik, tapi, terkadang sering ada bug, seperti susah buat melihat stories, atau lagu yang dipost sama seseorang gak muncul diatas. . . saya harap segera diperbaiki, thanks",5
Aditya Fadlani,"banyak update banyak juga bug, saya udah follow teman saya tapi tiba-tiba le unfollow dengan sendirinya dan itu terjadi berulang ulang, padahal koneksi ke data seluler/wifi bagus ga ada gangguan, dan juga sekarang malah sering lag dan setiap buka story ig orang lain malah ga kebuka......",1
Aylsa,"Halo, Instagram! Aku mau sampaikan keinginanku dong buat aplikasi Instagram. Boleh ga kalau musik di cerita di perpanjang? soalnya kalau 15 detik aja itu menurutku kurang cukup. Apalagi kalau lirik²nya bagus. Nanggung ga si? Jadi aku pengen Instagram manjangin durasi musik di cerita, Thank You Instagram udah nyempetin baca ini!",4
Yusuf,"Makin sini makin banyak bug aplikasi ini, Mau liat Story loadingnya lama banget padahal sinyal bagus, buka beranda blank putih semua, terkadang buka reel gak maju videonya padahal pas saya scroll ke bawah video kedua jalan lancar tpi discroll ke atas lgi masih tetep gak jalan video yang pertama, tolong diperbaiki wahai pihak Instagram",2
Soto ayam,"Woi tolong lah ya, pakai akun lama malah gak bisa musik yang di profile itu, akun baru ada, mau pake akun lama tapi tombol musik di profile nya gak ada awalnya ada lalu tiba tiba hilang, jadi mau hapus lagunya pun gak bisa. Tolong diperbaiki. Terimakasih.",1
maudy 075,"sekarang ko aneh bangett, mau upload story muter²terus, padahal jaringan bagus, dan yg lebih parahnya, foto yg baru saya ambil langsung dari instagram dan saya masukin draft,tidak bisa disimpan! gimana ini aplikasi nyaa!!",2
isthatrubio _,"Banyak bug! Buka DM, tampilan bar atas full putih. Info batre, sinyal, notif ga ada, full putih. Tiap buka profil, tombol Threads, Buat dan Pengaturan dan Aktivitas hilang, harus buka tab lain lalu balik lagi ke tab Profil supaya muncul tombolnya. Perbaiki lagi, saya pengguna Android 8.0 Oreo.",1
rilatriani,"Mohon ya untuk instagram agar lebih di upgrade lagi mengenai pemilihan foto, misal kalo mau buat foto grid kan nanti pilih foto ya, kalo bisa jangan ngulang dari awal lagi pas pemilihan foto kedua, jadi susah lagi nyari fotonya, harus di scroll bawah lagi, lebih bagus yang dulu, pemilihan foto kedua enggak perlu geser² tinggal lanjutin dari posisi foto pertama tdi.",2
Khansa Ghaida Ramadhani,"Mohon banyak sekali yang harus diperbaiki, kenapa arsipan story yang ada lagunya kita banyak yang menjadi burem, tidak menyamankan untuk dimasukkan ke highlight, dan juga beberapa foto di arsipan kita malah tidak bisa dibuka sama sekali, padahal dulu tidak ada kendala kendala seperti itu, menurut saya ini sangat merugikan banyak orang jadi tolong secepatnya perbaiki. Dimana mana fitur sosmed itu berkembang bukan malah makin banyak masalah teknisnya.",2
Salwa Salsabila,"Tolong perbaiki lagi kualitas foto or vid yg kita up ke story terutama pas udah di tambahin musik, pas ke up jadi burik banget sumpah, abis itu klo yang awalnya bagus ntar pas lama2 baru di cek udah burem banget, nge up tinggi2 kuota kemakan eh kualitasnya jelek",1
Selly Marsya Aprilia,"sebenarnya fitur instagram yang sudah developer rancang alias kembangkan kembali ini sudah bagus & sanggat membantu kami sebagai user ( pengguna ). tetapi sebagian masalah muncul mulai dari reload reels, dm, dan stories yang tidak bisa di unggah seperti foto tersebut tidak muncul. sebagai pengguna aktif instagram saya mengakui bahwa pencanggihan memadai ini sangat baik, namun perlu diperbaiki lagi dalam perihal kendala. karena tidak sedikit mereka yang mengeluhkan hal ini, itu saja dari saya.",5
Gedebil bangettt,"Sebenarnya aplikasinya bagus tapi sekarang banyak bug yang ganggu. contohnya bug fitur musik yang ada di profil Instagram ,di pengaturan saat edit profil fitur musik nya gak ada (hilang padahal dulu ada dan udah kepake)aneh nya di profil aku gaada musiknya sementara akun lain bisa lihat fitur musik nya di profil aku.tapi aku sendiri gabisa lihat.udah aku laporkan bug nya ke Instagram 4-5 kali belum di benerin.KECEWA BANGET SIH......",3
Budi Prasetyo,"Lebih canggih boleh, tapi easy to use lah... Jangan cuman canggih doang tapi tidak mudah untuk dioperasikan. Kalo mau jumping, buat pengenalan fitur saat pertama kali di update. Kalo masih ada yang komplain pakai checklist aja dengan klik lanjutan berarti pengguna sudah mengetahui cara menggunakan fitur terbaru, dan lebih plusnya untuk beberapa user yang tidak ramah dengan pembaharuan dikasih pilihan mau pakai ui yg baru atau lama. Bisalah developer...",1
c0likiawan,"Aplikasi yang sangat recommended terutama fiturnya yang sangat canggih dan bisa merasakan bagaimana rasanya bermain masak²an, gobag, emprak, jemblong. Apalagi kalau tambahin fitur ""setiap like postingan/reels/story"" dapet kiss dari pengguna yang kita like, mantappp.",5
Herlina Sibarani,"Instagram setelah di update malah sering ngelag, foto dan video reels atau sekedar melihat story juga lambat sekali, ketika dilihat tidak ada masalah dengan jaringan data seluler,semoga setelah di update Instagram kembali seperti kemarin"".",1
Ocha Bta,"For Mimin Instagram🤍🖤:kadang kalau bikin reel Instagram pakek musik,itu lagu sama video saya gak pas😓,jadi vidio saya nya kecepatan,dan lagu nya kadang juga lembet/telat, sama vidio saya nya,tolong dong min apa hp saya nya yang kentang🙏🏻, terimakasih",3
Tengku Hastriad,"Akun saya hilang. Tidak tau apa penyebabnga. Sudah coba dipulihkan tapi tidak ada gunanya. Ketika membuat akun baru, tiba tiba diberi peringatan. Setelah mengajukan banding dan meminta mengambil video diri sendiri, katanya ada masalah jaringan padahal jaringan sedang bagus. Ruang penyimpanan juga masih luas. Sebenarnya Instagram maunya apa?",2
Cemon Miban,"makin hari, fiturnya makin ga jelas. banyak yang gak bisa digunain, ada juga yang Fiturnya kadang muncul kadang nggak. akhir akhir ini juga di suruh update trs, setelah update gak ada hal hal yang baru tuh. pas mau buka reels juga, reels pertama selalu macet ga bisa di buka. mulai reels kedua baru bisa. makin aneh aja",3
Ezell Hermanus,"Bagus sih iya, updatenya yang tidak. Kenapa setiap update, setiap video atau foto yang udh disimpan di arsip tiba"" bisa hilang? Saya mau story saya sehabis saya story, bisa langsung disimpan di arsip, agar memori di hp saya tidak penuh, jdi video ato foto yg udh saya story bisa saya lihat di arsip.",5
Netto shippuden,"Untuk fitur dah bagus tapi Buat edit video pasti slalu bug sound nya bunyi terus walau sudah di pause/dicancel tapi masih bunyi terus jadi kayak suara background gak bisa hilang hilang , harus diclose dulu baru buka aplikasi lagi",2
Sipa Aulia,"kenapa ya dari kemarin siang, ig kalau di buka layarnya selalu hitam, dan sekalinya bisa jga lama banget nunggu nya, mana tiap ngebuka selalu ada bacaan ig tidak menanggapi, ngebug parah jga, pdhl jaringan dan memo sya tidak ada masalah apa2, dan saya pikir juga, kalau di update bakalan membaik, ternyata malah makin ngebug parah, tolong ya untuk pihak ig, perbaiki kembali ig nya seperti awal² 🙏🏻🙏🏻",3
Yesya Dian nur cahyati,"Instagram reels saya gabisa digunakan beberapa hari ini, padahal koneksi saya bagus, dan sudah di update, sudah saya gunakan segala cara tapi reels nya masih belum bisa digunakan,, untuk sementara saya beri bintang 2,tolong instagram respon keluhan saya mengenai bug ini 🙏ini menganggu",2
